"Dataset","Scenario","q","Year","F","F_95_lo","F_95_hi","F_base","F_base_95_lo","F_base_95_hi"
"FULL","S2",0.6,2006,0.3372099,0.2924631,0.3819567,0.3370782,0.292351,0.3818054
"FULL","S2",0.6,2007,0.2566488,0.22319944,0.29009816,0.2565183,0.22308658,0.28995002
"FULL","S2",0.6,2008,0.3295867,0.28759174,0.37158166,0.3293183,0.28736058,0.37127602
"FULL","S2",0.6,2009,0.349331,0.30563084,0.39303116,0.3490246,0.30536364,0.39268556
"FULL","S2",0.6,2010,0.389268,0.34157532,0.43696068,0.388993,0.3413258,0.4366602
"FULL","S2",0.6,2011,0.4598329,0.40230494,0.51736086,0.4597872,0.4022416,0.5173328
"FULL","S2",0.6,2012,0.4282635,0.37178806,0.48473894,0.4285948,0.37203704,0.48515256
"FULL","S2",0.6,2013,0.4723967,0.41274606,0.53204734,0.4731116,0.41333748,0.53288572
"FULL","S2",0.6,2014,0.438752,0.38417188,0.49333212,0.4392373,0.3846023,0.4938723
"FULL","S2",0.6,2015,0.4265315,0.37396626,0.47909674,0.4271531,0.3745369,0.4797693
"FULL","S2",0.6,2016,0.4270231,0.37265466,0.48139154,0.4277843,0.3733747,0.4821939
"FULL","S2",0.6,2017,0.3442304,0.3000226,0.3884382,0.3450972,0.30083844,0.38935596
"FULL","S2",0.6,2018,0.3033078,0.26279852,0.34381708,0.3044119,0.26381834,0.34500546
"FULL","S2",0.6,2019,0.3686538,0.3166942,0.4206134,0.3704612,0.3183448,0.4225776
"FULL","S2",0.6,2020,0.4142034,0.35160492,0.47680188,0.4170282,0.3541318,0.4799246
"FULL","S2",0.6,2021,0.3673965,0.30468042,0.43011258,0.3706339,0.3074631,0.4338047
"FULL","S2",0.6,2022,0.4586629,0.36480046,0.55252534,0.4640518,0.36903884,0.55906476
"FULL","S2",0.8,1982,0.7556051,0.5427491,0.9684611,0.7556548,0.5427792,0.9685304
"FULL","S2",0.8,1983,1.081315,0.7688714,1.3937586,1.081364,0.7689008,1.3938272
"FULL","S2",0.8,1984,1.227651,0.9038982,1.5514038,1.227685,0.9039322,1.5514378
"FULL","S2",0.8,1985,1.249404,0.9144596,1.5843484,1.249444,0.91448,1.584408
"FULL","S2",0.8,1986,1.323341,0.9594474,1.6872346,1.323397,0.9594838,1.6873102
"FULL","S2",0.8,1987,1.278687,0.9358438,1.6215302,1.278754,0.9359108,1.6215972
"FULL","S2",0.8,1988,1.60088,1.1765204,2.0252396,1.60084,1.1765,2.02518
"FULL","S2",0.8,1989,1.271483,0.9178206,1.6251454,1.27143,0.9177872,1.6250728
"FULL","S2",0.8,1990,0.8441772,0.6136028,1.0747516,0.8442476,0.6136536,1.0748416
"FULL","S2",0.8,1991,1.054567,0.7747574,1.3343766,1.054578,0.7747684,1.3343876
"FULL","S2",0.8,1992,1.169626,0.8570844,1.4821676,1.169593,0.857071,1.482115
"FULL","S2",0.8,1993,0.9973189,0.7210177,1.2736201,0.9973226,0.7210214,1.2736238
"FULL","S2",0.8,1994,0.9504126,0.697259,1.2035662,0.9503938,0.6972402,1.2035474
"FULL","S2",0.8,1995,1.432676,1.22815,1.637202,1.432743,1.2282366,1.6372494
"FULL","S2",0.8,1996,1.155316,1.00080136,1.30983064,1.155396,1.00088332,1.30990868
"FULL","S2",0.8,1997,0.7749737,0.6576677,0.8922797,0.775001,0.65770676,0.89229524
"FULL","S2",0.8,1998,0.8090011,0.6905485,0.9274537,0.8089297,0.69050454,0.92735486
"FULL","S2",0.8,1999,0.5845406,0.50310064,0.66598056,0.5845607,0.50312662,0.66599478
"FULL","S2",0.8,2000,0.695344,0.5969324,0.7937556,0.6952898,0.59689584,0.79368376
"FULL","S2",0.8,2001,0.4643348,0.39518208,0.53348752,0.464324,0.39517912,0.53346888
"FULL","S2",0.8,2002,0.4238636,0.3635544,0.4841728,0.4238457,0.36354434,0.48414706
"FULL","S2",0.8,2003,0.4067646,0.34925036,0.46427884,0.4067173,0.34921482,0.46421978
"FULL","S2",0.8,2004,0.4356555,0.37625378,0.49505722,0.4355518,0.37616968,0.49493392
"FULL","S2",0.8,2005,0.457611,0.39701368,0.51820832,0.4574258,0.39685592,0.51799568
"FULL","S2",0.8,2006,0.3372502,0.29249752,0.38200288,0.3370782,0.292351,0.3818054
"FULL","S2",0.8,2007,0.2566888,0.22323356,0.29014404,0.2565183,0.22308658,0.28995002
"FULL","S2",0.8,2008,0.3296689,0.28766414,0.37167366,0.3293183,0.28736058,0.37127602
"FULL","S2",0.8,2009,0.3494242,0.30571228,0.39313612,0.3490246,0.30536364,0.39268556
"FULL","S2",0.8,2010,0.3893513,0.34165078,0.43705182,0.388993,0.3413258,0.4366602
"FULL","S2",0.8,2011,0.4598457,0.40232362,0.51736778,0.4597872,0.4022416,0.5173328
"FULL","S2",0.8,2012,0.4281614,0.37171144,0.48461136,0.4285948,0.37203704,0.48515256
"FULL","S2",0.8,2013,0.4721788,0.4125654,0.5317922,0.4731116,0.41333748,0.53288572
"FULL","S2",0.8,2014,0.4386032,0.38403876,0.49316764,0.4392373,0.3846023,0.4938723
"FULL","S2",0.8,2015,0.4263409,0.37379134,0.47889046,0.4271531,0.3745369,0.4797693
"FULL","S2",0.8,2016,0.4267847,0.37242998,0.48113942,0.4277843,0.3733747,0.4821939
"FULL","S2",0.8,2017,0.3439627,0.29977058,0.38815482,0.3450972,0.30083844,0.38935596
"FULL","S2",0.8,2018,0.3029671,0.2624833,0.3434509,0.3044119,0.26381834,0.34500546
"FULL","S2",0.8,2019,0.3680999,0.3161893,0.4200105,0.3704612,0.3183448,0.4225776
"FULL","S2",0.8,2020,0.4133428,0.35083448,0.47585112,0.4170282,0.3541318,0.4799246
"FULL","S2",0.8,2021,0.3664119,0.30383498,0.42898882,0.3706339,0.3074631,0.4338047
"FULL","S2",0.8,2022,0.4570239,0.3635123,0.5505355,0.4640518,0.36903884,0.55906476
"FULL","S2",1,1982,0.7555939,0.5427379,0.9684499,0.7556548,0.5427792,0.9685304
"FULL","S2",1,1983,1.081304,0.7688604,1.3937476,1.081364,0.7689008,1.3938272
"FULL","S2",1,1984,1.227643,0.9038902,1.5513958,1.227685,0.9039322,1.5514378
"FULL","S2",1,1985,1.249395,0.9144506,1.5843394,1.249444,0.91448,1.584408
"FULL","S2",1,1986,1.323328,0.9594344,1.6872216,1.323397,0.9594838,1.6873102
"FULL","S2",1,1987,1.278672,0.9358288,1.6215152,1.278754,0.9359108,1.6215972
"FULL","S2",1,1988,1.600888,1.1765284,2.0252476,1.60084,1.1765,2.02518
"FULL","S2",1,1989,1.271494,0.9178316,1.6251564,1.27143,0.9177872,1.6250728
"FULL","S2",1,1990,0.8441612,0.6135868,1.0747356,0.8442476,0.6136536,1.0748416
"FULL","S2",1,1991,1.054564,0.7747348,1.3343932,1.054578,0.7747684,1.3343876
"FULL","S2",1,1992,1.169633,0.8570914,1.4821746,1.169593,0.857071,1.482115
"FULL","S2",1,1993,0.9973181,0.7209973,1.2736389,0.9973226,0.7210214,1.2736238
"FULL","S2",1,1994,0.9504169,0.6972633,1.2035705,0.9503938,0.6972402,1.2035474
"FULL","S2",1,1995,1.43266,1.228134,1.637186,1.432743,1.2282366,1.6372494
"FULL","S2",1,1996,1.155298,1.00078336,1.30981264,1.155396,1.00088332,1.30990868
"FULL","S2",1,1997,0.7749675,0.65765758,0.89227742,0.775001,0.65770676,0.89229524
"FULL","S2",1,1998,0.8090173,0.69055882,0.92747578,0.8089297,0.69050454,0.92735486
"FULL","S2",1,1999,0.584536,0.50309408,0.66597792,0.5845607,0.50312662,0.66599478
"FULL","S2",1,2000,0.6953564,0.59693892,0.79377388,0.6952898,0.59689584,0.79368376
"FULL","S2",1,2001,0.4643374,0.39518272,0.53349208,0.464324,0.39517912,0.53346888
"FULL","S2",1,2002,0.4238678,0.36355664,0.48417896,0.4238457,0.36354434,0.48414706
"FULL","S2",1,2003,0.4067754,0.34925724,0.46429356,0.4067173,0.34921482,0.46421978
"FULL","S2",1,2004,0.4356792,0.3762716,0.4950868,0.4355518,0.37616968,0.49493392
"FULL","S2",1,2005,0.4576533,0.39704814,0.51825846,0.4574258,0.39685592,0.51799568
"FULL","S2",1,2006,0.3372893,0.29253074,0.38204786,0.3370782,0.292351,0.3818054
"FULL","S2",1,2007,0.2567275,0.22326638,0.29018862,0.2565183,0.22308658,0.28995002
"FULL","S2",1,2008,0.3297486,0.28773208,0.37176512,0.3293183,0.28736058,0.37127602
"FULL","S2",1,2009,0.3495142,0.30579052,0.39323788,0.3490246,0.30536364,0.39268556
"FULL","S2",1,2010,0.3894319,0.34172354,0.43714026,0.388993,0.3413258,0.4366602
"FULL","S2",1,2011,0.4598588,0.4023426,0.517375,0.4597872,0.4022416,0.5173328
"FULL","S2",1,2012,0.428065,0.37163856,0.48449144,0.4285948,0.37203704,0.48515256
"FULL","S2",1,2013,0.4719712,0.41239308,0.53154932,0.4731116,0.41333748,0.53288572
"FULL","S2",1,2014,0.4384581,0.3839113,0.4930049,0.4392373,0.3846023,0.4938723
"FULL","S2",1,2015,0.426156,0.37362212,0.47868988,0.4271531,0.3745369,0.4797693
"FULL","S2",1,2016,0.426552,0.372211,0.480893,0.4277843,0.3733747,0.4821939
"FULL","S2",1,2017,0.3437023,0.29952586,0.38787874,0.3450972,0.30083844,0.38935596
"FULL","S2",1,2018,0.3026369,0.26218054,0.34309326,0.3044119,0.26381834,0.34500546
"FULL","S2",1,2019,0.367565,0.31569948,0.41943052,0.3704612,0.3183448,0.4225776
"FULL","S2",1,2020,0.4125139,0.35009182,0.47493598,0.4170282,0.3541318,0.4799246
"FULL","S2",1,2021,0.3654657,0.3030201,0.4279113,0.3706339,0.3074631,0.4338047
"FULL","S2",1,2022,0.4554517,0.36227526,0.54862814,0.4640518,0.36903884,0.55906476
"WEE","S1",0.2,1982,0.7556589,0.5427833,0.9685345,0.7556548,0.5427792,0.9685304
"WEE","S1",0.2,1983,1.081368,0.7689048,1.3938312,1.081364,0.7689008,1.3938272
"WEE","S1",0.2,1984,1.227688,0.9039352,1.5514408,1.227685,0.9039322,1.5514378
"WEE","S1",0.2,1985,1.249449,0.914485,1.584413,1.249444,0.91448,1.584408
"WEE","S1",0.2,1986,1.323403,0.9594898,1.6873162,1.323397,0.9594838,1.6873102
"WEE","S1",0.2,1987,1.278761,0.9359178,1.6216042,1.278754,0.9359108,1.6215972
"WEE","S1",0.2,1988,1.600837,1.176497,2.025177,1.60084,1.1765,2.02518
"WEE","S1",0.2,1989,1.271429,0.9177862,1.6250718,1.27143,0.9177872,1.6250728
"WEE","S1",0.2,1990,0.8442578,0.6136638,1.0748518,0.8442476,0.6136536,1.0748416
"WEE","S1",0.2,1991,1.054581,0.7747714,1.3343906,1.054578,0.7747684,1.3343876
"WEE","S1",0.2,1992,1.169591,0.857069,1.482113,1.169593,0.857071,1.482115
"WEE","S1",0.2,1993,0.9973253,0.7210241,1.2736265,0.9973226,0.7210214,1.2736238
"WEE","S1",0.2,1994,0.9503935,0.6972595,1.2035275,0.9503938,0.6972402,1.2035474
"WEE","S1",0.2,1995,1.43277,1.228244,1.637296,1.432743,1.2282366,1.6372494
"WEE","S1",0.2,1996,1.155419,1.00090436,1.30993364,1.155396,1.00088332,1.30990868
"WEE","S1",0.2,1997,0.7750113,0.65771902,0.89230358,0.775001,0.65770676,0.89229524
"WEE","S1",0.2,1998,0.8089272,0.69050596,0.92734844,0.8089297,0.69050454,0.92735486
"WEE","S1",0.2,1999,0.5845655,0.50313142,0.66599958,0.5845607,0.50312662,0.66599478
"WEE","S1",0.2,2000,0.6952826,0.5968906,0.7936746,0.6952898,0.59689584,0.79368376
"WEE","S1",0.2,2001,0.464318,0.39517508,0.53346092,0.464324,0.39517912,0.53346888
"WEE","S1",0.2,2002,0.4238344,0.363535,0.4841338,0.4238457,0.36354434,0.48414706
"WEE","S1",0.2,2003,0.4066959,0.34919734,0.46419446,0.4067173,0.34921482,0.46421978
"WEE","S1",0.2,2004,0.4355104,0.37613416,0.49488664,0.4355518,0.37616968,0.49493392
"WEE","S1",0.2,2005,0.4573539,0.39679382,0.51791398,0.4574258,0.39685592,0.51799568
"WEE","S1",0.2,2006,0.3370032,0.29228384,0.38172256,0.3370782,0.292351,0.3818054
"WEE","S1",0.2,2007,0.256436,0.22301408,0.28985792,0.2565183,0.22308658,0.28995002
"WEE","S1",0.2,2008,0.3291634,0.28722528,0.37110152,0.3293183,0.28736058,0.37127602
"WEE","S1",0.2,2009,0.3488533,0.30520998,0.39249662,0.3490246,0.30536364,0.39268556
"WEE","S1",0.2,2010,0.3890039,0.34132102,0.43668678,0.388993,0.3413258,0.4366602
"WEE","S1",0.2,2011,0.4599979,0.40240134,0.51759446,0.4597872,0.4022416,0.5173328
"WEE","S1",0.2,2012,0.4288834,0.37226488,0.48550192,0.4285948,0.37203704,0.48515256
"WEE","S1",0.2,2013,0.4735918,0.41373928,0.53344432,0.4731116,0.41333748,0.53288572
"WEE","S1",0.2,2014,0.4393786,0.38473576,0.49402144,0.4392373,0.3846023,0.4938723
"WEE","S1",0.2,2015,0.4273546,0.3747286,0.4799806,0.4271531,0.3745369,0.4797693
"WEE","S1",0.2,2016,0.427818,0.37343584,0.48220016,0.4277843,0.3733747,0.4821939
"WEE","S1",0.2,2017,0.3451922,0.30094912,0.38943528,0.3450972,0.30083844,0.38935596
"WEE","S1",0.2,2018,0.3046345,0.2640331,0.3452359,0.3044119,0.26381834,0.34500546
"WEE","S1",0.2,2019,0.3708672,0.3187214,0.423013,0.3704612,0.3183448,0.4225776
"WEE","S1",0.2,2020,0.4176564,0.35469532,0.48061748,0.4170282,0.3541318,0.4799246
"WEE","S1",0.2,2021,0.3713098,0.30804688,0.43457272,0.3706339,0.3074631,0.4338047
"WEE","S1",0.2,2022,0.4648804,0.36974788,0.56001292,0.4640518,0.36903884,0.55906476
"WEE","S1",0.4,1982,0.7556765,0.5428009,0.9685521,0.7556548,0.5427792,0.9685304
"WEE","S1",0.4,1983,1.081385,0.7689218,1.3938482,1.081364,0.7689008,1.3938272
"WEE","S1",0.4,1984,1.227698,0.9039452,1.5514508,1.227685,0.9039322,1.5514378
"WEE","S1",0.4,1985,1.24946,0.914496,1.584424,1.249444,0.91448,1.584408
"WEE","S1",0.4,1986,1.32342,0.9595068,1.6873332,1.323397,0.9594838,1.6873102
"WEE","S1",0.4,1987,1.278783,0.9359202,1.6216458,1.278754,0.9359108,1.6215972
"WEE","S1",0.4,1988,1.600816,1.176476,2.025156,1.60084,1.1765,2.02518
"WEE","S1",0.4,1989,1.2714,0.9177768,1.6250232,1.27143,0.9177872,1.6250728
"WEE","S1",0.4,1990,0.8442797,0.6136857,1.0748737,0.8442476,0.6136536,1.0748416
"WEE","S1",0.4,1991,1.05458,0.7747704,1.3343896,1.054578,0.7747684,1.3343876
"WEE","S1",0.4,1992,1.169572,0.85705,1.482094,1.169593,0.857071,1.482115
"WEE","S1",0.4,1993,0.9973208,0.7210196,1.273622,0.9973226,0.7210214,1.2736238
"WEE","S1",0.4,1994,0.9503813,0.6972473,1.2035153,0.9503938,0.6972402,1.2035474
"WEE","S1",0.4,1995,1.432785,1.2282786,1.6372914,1.432743,1.2282366,1.6372494
"WEE","S1",0.4,1996,1.155443,1.00093032,1.30995568,1.155396,1.00088332,1.30990868
"WEE","S1",0.4,1997,0.7750177,0.65772934,0.89230606,0.775001,0.65770676,0.89229524
"WEE","S1",0.4,1998,0.8088959,0.69048642,0.92730538,0.8089297,0.69050454,0.92735486
"WEE","S1",0.4,1999,0.5845709,0.50314074,0.66600106,0.5845607,0.50312662,0.66599478
"WEE","S1",0.4,2000,0.6952599,0.59687574,0.79364406,0.6952898,0.59689584,0.79368376
"WEE","S1",0.4,2001,0.4643138,0.39517284,0.53345476,0.464324,0.39517912,0.53346888
"WEE","S1",0.4,2002,0.4238293,0.36353186,0.48412674,0.4238457,0.36354434,0.48414706
"WEE","S1",0.4,2003,0.4066819,0.34918726,0.46417654,0.4067173,0.34921482,0.46421978
"WEE","S1",0.4,2004,0.4354791,0.37610874,0.49484946,0.4355518,0.37616968,0.49493392
"WEE","S1",0.4,2005,0.4572986,0.39674636,0.51785084,0.4574258,0.39685592,0.51799568
"WEE","S1",0.4,2006,0.3369546,0.29224308,0.38166612,0.3370782,0.292351,0.3818054
"WEE","S1",0.4,2007,0.2563899,0.22297386,0.28980594,0.2565183,0.22308658,0.28995002
"WEE","S1",0.4,2008,0.3290638,0.2871394,0.3709882,0.3293183,0.28736058,0.37127602
"WEE","S1",0.4,2009,0.3487376,0.30510996,0.39236524,0.3490246,0.30536364,0.39268556
"WEE","S1",0.4,2010,0.3888938,0.34122268,0.43656492,0.388993,0.3413258,0.4366602
"WEE","S1",0.4,2011,0.4599541,0.40235558,0.51755262,0.4597872,0.4022416,0.5173328
"WEE","S1",0.4,2012,0.4289625,0.37232242,0.48560258,0.4285948,0.37203704,0.48515256
"WEE","S1",0.4,2013,0.4738176,0.41392784,0.53370736,0.4731116,0.41333748,0.53288572
"WEE","S1",0.4,2014,0.4395631,0.38490066,0.49422554,0.4392373,0.3846023,0.4938723
"WEE","S1",0.4,2015,0.4275964,0.37495276,0.48024004,0.4271531,0.3745369,0.4797693
"WEE","S1",0.4,2016,0.4281377,0.3737379,0.4825375,0.4277843,0.3733747,0.4821939
"WEE","S1",0.4,2017,0.3455826,0.30131404,0.38985116,0.3450972,0.30083844,0.38935596
"WEE","S1",0.4,2018,0.3051294,0.26448684,0.34577196,0.3044119,0.26381834,0.34500546
"WEE","S1",0.4,2019,0.3717105,0.31948434,0.42393666,0.3704612,0.3183448,0.4225776
"WEE","S1",0.4,2020,0.4190084,0.35589444,0.48212236,0.4170282,0.3541318,0.4799246
"WEE","S1",0.4,2021,0.3729093,0.3094053,0.4364133,0.3706339,0.3074631,0.4338047
"WEE","S1",0.4,2022,0.4676107,0.37186078,0.56336062,0.4640518,0.36903884,0.55906476
"WEE","S1",0.6,1982,0.7556958,0.5428006,0.968591,0.7556548,0.5427792,0.9685304
"WEE","S1",0.6,1983,1.081404,0.7689408,1.3938672,1.081364,0.7689008,1.3938272
"WEE","S1",0.6,1984,1.227708,0.9039552,1.5514608,1.227685,0.9039322,1.5514378
"WEE","S1",0.6,1985,1.249472,0.914508,1.584436,1.249444,0.91448,1.584408
"WEE","S1",0.6,1986,1.323439,0.9595258,1.6873522,1.323397,0.9594838,1.6873102
"WEE","S1",0.6,1987,1.278806,0.9359432,1.6216688,1.278754,0.9359108,1.6215972
"WEE","S1",0.6,1988,1.600793,1.1764726,2.0251134,1.60084,1.1765,2.02518
"WEE","S1",0.6,1989,1.271367,0.9177634,1.6249706,1.27143,0.9177872,1.6250728
"WEE","S1",0.6,1990,0.8443032,0.6137092,1.0748972,0.8442476,0.6136536,1.0748416
"WEE","S1",0.6,1991,1.054578,0.7747684,1.3343876,1.054578,0.7747684,1.3343876
"WEE","S1",0.6,1992,1.169551,0.8570486,1.4820534,1.169593,0.857071,1.482115
"WEE","S1",0.6,1993,0.9973155,0.7210143,1.2736167,0.9973226,0.7210214,1.2736238
"WEE","S1",0.6,1994,0.9503676,0.6972336,1.2035016,0.9503938,0.6972402,1.2035474
"WEE","S1",0.6,1995,1.432799,1.2282926,1.6373054,1.432743,1.2282366,1.6372494
"WEE","S1",0.6,1996,1.155468,1.00095728,1.30997872,1.155396,1.00088332,1.30990868
"WEE","S1",0.6,1997,0.7750243,0.65774378,0.89230482,0.775001,0.65770676,0.89229524
"WEE","S1",0.6,1998,0.8088613,0.69046358,0.92725902,0.8089297,0.69050454,0.92735486
"WEE","S1",0.6,1999,0.5845767,0.5031485,0.6660049,0.5845607,0.50312662,0.66599478
"WEE","S1",0.6,2000,0.6952349,0.59686054,0.79360926,0.6952898,0.59689584,0.79368376
"WEE","S1",0.6,2001,0.4643094,0.39517236,0.53344644,0.464324,0.39517912,0.53346888
"WEE","S1",0.6,2002,0.4238238,0.36353028,0.48411732,0.4238457,0.36354434,0.48414706
"WEE","S1",0.6,2003,0.406667,0.34917628,0.46415772,0.4067173,0.34921482,0.46421978
"WEE","S1",0.6,2004,0.4354456,0.37608112,0.49481008,0.4355518,0.37616968,0.49493392
"WEE","S1",0.6,2005,0.4572396,0.39669716,0.51778204,0.4574258,0.39685592,0.51799568
"WEE","S1",0.6,2006,0.3369031,0.29219942,0.38160678,0.3370782,0.292351,0.3818054
"WEE","S1",0.6,2007,0.2563414,0.2229332,0.2897496,0.2565183,0.22308658,0.28995002
"WEE","S1",0.6,2008,0.3289583,0.28704958,0.37086702,0.3293183,0.28736058,0.37127602
"WEE","S1",0.6,2009,0.3486144,0.30500244,0.39222636,0.3490246,0.30536364,0.39268556
"WEE","S1",0.6,2010,0.388776,0.34111664,0.43643536,0.388993,0.3413258,0.4366602
"WEE","S1",0.6,2011,0.4599059,0.40230738,0.51750442,0.4597872,0.4022416,0.5173328
"WEE","S1",0.6,2012,0.4290459,0.37238426,0.48570754,0.4285948,0.37203704,0.48515256
"WEE","S1",0.6,2013,0.4740586,0.41412768,0.53398952,0.4731116,0.41333748,0.53288572
"WEE","S1",0.6,2014,0.4397622,0.3850782,0.4944462,0.4392373,0.3846023,0.4938723
"WEE","S1",0.6,2015,0.4278549,0.37519166,0.48051814,0.4271531,0.3745369,0.4797693
"WEE","S1",0.6,2016,0.428477,0.3740576,0.4828964,0.4277843,0.3733747,0.4821939
"WEE","S1",0.6,2017,0.3460037,0.30170574,0.39030166,0.3450972,0.30083844,0.38935596
"WEE","S1",0.6,2018,0.3056639,0.26497626,0.34635154,0.3044119,0.26381834,0.34500546
"WEE","S1",0.6,2019,0.3726271,0.3203147,0.4249395,0.3704612,0.3183448,0.4225776
"WEE","S1",0.6,2020,0.4204852,0.35720464,0.48376576,0.4170282,0.3541318,0.4799246
"WEE","S1",0.6,2021,0.3746668,0.31089624,0.43843736,0.3706339,0.3074631,0.4338047
"WEE","S1",0.6,2022,0.4706241,0.37418818,0.56706002,0.4640518,0.36903884,0.55906476
"WEE","S1",0.8,1982,0.7557171,0.5428219,0.9686123,0.7556548,0.5427792,0.9685304
"WEE","S1",0.8,1983,1.081424,0.7689412,1.3939068,1.081364,0.7689008,1.3938272
"WEE","S1",0.8,1984,1.227719,0.9039466,1.5514914,1.227685,0.9039322,1.5514378
"WEE","S1",0.8,1985,1.249485,0.914521,1.584449,1.249444,0.91448,1.584408
"WEE","S1",0.8,1986,1.323459,0.9595262,1.6873918,1.323397,0.9594838,1.6873102
"WEE","S1",0.8,1987,1.278832,0.9359692,1.6216948,1.278754,0.9359108,1.6215972
"WEE","S1",0.8,1988,1.600767,1.1764466,2.0250874,1.60084,1.1765,2.02518
"WEE","S1",0.8,1989,1.27133,0.9177264,1.6249336,1.27143,0.9177872,1.6250728
"WEE","S1",0.8,1990,0.8443292,0.6137156,1.0749428,0.8442476,0.6136536,1.0748416
"WEE","S1",0.8,1991,1.054576,0.7747664,1.3343856,1.054578,0.7747684,1.3343876
"WEE","S1",0.8,1992,1.169526,0.8570236,1.4820284,1.169593,0.857071,1.482115
"WEE","S1",0.8,1993,0.9973093,0.7210081,1.2736105,0.9973226,0.7210214,1.2736238
"WEE","S1",0.8,1994,0.9503521,0.6972181,1.2034861,0.9503938,0.6972402,1.2035474
"WEE","S1",0.8,1995,1.432815,1.2283086,1.6373214,1.432743,1.2282366,1.6372494
"WEE","S1",0.8,1996,1.155496,1.00098528,1.31000672,1.155396,1.00088332,1.30990868
"WEE","S1",0.8,1997,0.7750315,0.65775686,0.89230614,0.775001,0.65770676,0.89229524
"WEE","S1",0.8,1998,0.8088228,0.6904388,0.9272068,0.8089297,0.69050454,0.92735486
"WEE","S1",0.8,1999,0.5845831,0.50315882,0.66600738,0.5845607,0.50312662,0.66599478
"WEE","S1",0.8,2000,0.6952072,0.59684068,0.79357372,0.6952898,0.59689584,0.79368376
"WEE","S1",0.8,2001,0.4643045,0.39517138,0.53343762,0.464324,0.39517912,0.53346888
"WEE","S1",0.8,2002,0.423818,0.36352644,0.48410956,0.4238457,0.36354434,0.48414706
"WEE","S1",0.8,2003,0.4066509,0.3491641,0.4641377,0.4067173,0.34921482,0.46421978
"WEE","S1",0.8,2004,0.4354094,0.37605276,0.49476604,0.4355518,0.37616968,0.49493392
"WEE","S1",0.8,2005,0.4571757,0.39664502,0.51770638,0.4574258,0.39685592,0.51799568
"WEE","S1",0.8,2006,0.3368477,0.29215382,0.38154158,0.3370782,0.292351,0.3818054
"WEE","S1",0.8,2007,0.2562893,0.22288894,0.28968966,0.2565183,0.22308658,0.28995002
"WEE","S1",0.8,2008,0.3288443,0.28695322,0.37073538,0.3293183,0.28736058,0.37127602
"WEE","S1",0.8,2009,0.3484809,0.30488854,0.39207326,0.3490246,0.30536364,0.39268556
"WEE","S1",0.8,2010,0.3886479,0.34100226,0.43629354,0.388993,0.3413258,0.4366602
"WEE","S1",0.8,2011,0.4598518,0.40225328,0.51745032,0.4597872,0.4022416,0.5173328
"WEE","S1",0.8,2012,0.4291311,0.37244594,0.48581626,0.4285948,0.37203704,0.48515256
"WEE","S1",0.8,2013,0.4743123,0.41434022,0.53428438,0.4731116,0.41333748,0.53288572
"WEE","S1",0.8,2014,0.4399729,0.38526538,0.49468042,0.4392373,0.3846023,0.4938723
"WEE","S1",0.8,2015,0.428137,0.3754522,0.4808218,0.4271531,0.3745369,0.4797693
"WEE","S1",0.8,2016,0.4288516,0.37441064,0.48329256,0.4277843,0.3733747,0.4821939
"WEE","S1",0.8,2017,0.3464658,0.30213648,0.39079512,0.3450972,0.30083844,0.38935596
"WEE","S1",0.8,2018,0.3062513,0.26551662,0.34698598,0.3044119,0.26381834,0.34500546
"WEE","S1",0.8,2019,0.373639,0.32123252,0.42604548,0.3704612,0.3183448,0.4225776
"WEE","S1",0.8,2020,0.4221241,0.35865734,0.48559086,0.4170282,0.3541318,0.4799246
"WEE","S1",0.8,2021,0.3766281,0.31255962,0.44069658,0.3706339,0.3074631,0.4338047
"WEE","S1",0.8,2022,0.4739971,0.37678894,0.57120526,0.4640518,0.36903884,0.55906476
"WEE","S1",1,1982,0.7557413,0.5428265,0.9686561,0.7556548,0.5427792,0.9685304
"WEE","S1",1,1983,1.081447,0.7689642,1.3939298,1.081364,0.7689008,1.3938272
"WEE","S1",1,1984,1.227731,0.9039586,1.5515034,1.227685,0.9039322,1.5514378
"WEE","S1",1,1985,1.249499,0.9145154,1.5844826,1.249444,0.91448,1.584408
"WEE","S1",1,1986,1.323481,0.9595482,1.6874138,1.323397,0.9594838,1.6873102
"WEE","S1",1,1987,1.278862,0.9359796,1.6217444,1.278754,0.9359108,1.6215972
"WEE","S1",1,1988,1.600737,1.1764166,2.0250574,1.60084,1.1765,2.02518
"WEE","S1",1,1989,1.271287,0.917703,1.624871,1.27143,0.9177872,1.6250728
"WEE","S1",1,1990,0.844358,0.6137444,1.0749716,0.8442476,0.6136536,1.0748416
"WEE","S1",1,1991,1.054573,0.7747634,1.3343826,1.054578,0.7747684,1.3343876
"WEE","S1",1,1992,1.169498,0.8570152,1.4819808,1.169593,0.857071,1.482115
"WEE","S1",1,1993,0.9973017,0.7210005,1.2736029,0.9973226,0.7210214,1.2736238
"WEE","S1",1,1994,0.9503342,0.6972002,1.2034682,0.9503938,0.6972402,1.2035474
"WEE","S1",1,1995,1.432831,1.2283246,1.6373374,1.432743,1.2282366,1.6372494
"WEE","S1",1,1996,1.155526,1.0010192,1.3100328,1.155396,1.00088332,1.30990868
"WEE","S1",1,1997,0.7750389,0.6577721,0.8923057,0.775001,0.65770676,0.89229524
"WEE","S1",1,1998,0.8087785,0.69041018,0.92714682,0.8089297,0.69050454,0.92735486
"WEE","S1",1,1999,0.5845898,0.50316944,0.66601016,0.5845607,0.50312662,0.66599478
