"Dataset","Scenario","q","Fleet_name","Year","Obs","Exp","SE","Dev","Residual"
"FULL","S2",0.8,"MCDS",2015,7272990,6473050,0.148506,0.116521,0.784615317198257
"FULL","S2",0.8,"MCDS",2018,6405230,6643010,0.136118,-0.0364501,-0.267784788758489
"FULL","S2",0.8,"MCDS",2022,2642970,6798160,0.681929,-0.94475,-1.38540625565305
"WEE","S2",0.8,"MCDS",2012,2718390,3355340,0.495953,-0.210512,-0.424462223792093
"WEE","S2",0.8,"MCDS",2015,5543230,3359030,0.291339,0.500927,1.71938917046105
"WEE","S2",0.8,"MCDS",2018,8028080,1757970,0.170268,1.51878,8.91997123203157
"WEE","S2",0.8,"MCDS",2022,164380,562767,0.143898,-1.23068,-8.55248069748226
"FULL","S1",1,"MCDS",2012,4666810,5533190,0.223355,-0.170288,-0.762412965831243
"FULL","S1",1,"MCDS",2015,7228400,6508770,0.138711,0.104868,0.756012235979746
"FULL","S1",1,"MCDS",2018,6357570,6681630,0.127205,-0.0497165,-0.390831656677179
"FULL","S1",1,"MCDS",2022,2754900,6897590,0.975556,-0.917789,-0.940787541591256
"WEE","S1",1,"MCDS",2012,2540820,4387170,0.547956,-0.546197,-0.996790816620053
"WEE","S1",1,"MCDS",2015,4969410,3031970,0.302861,0.494089,1.63140367203424
"WEE","S1",1,"MCDS",2018,7747220,1564370,0.16811,1.59985,9.51669075190017
"WEE","S1",1,"MCDS",2022,92896.9,303759,0.138037,-1.18474,-8.58280278328724
"FULL","S2",1,"MCDS",2012,4666810,5961160,0.223355,-0.24479,-1.0959653388123
"FULL","S2",1,"MCDS",2015,7975830,7088090,0.130356,0.117999,0.9052119407735
"FULL","S2",1,"MCDS",2018,6913250,7270960,0.119831,-0.0504493,-0.420996839611909
"FULL","S2",1,"MCDS",2022,3515480,7494710,1.20206,-0.757023,-0.629770032107066
"WEE","S2",1,"MCDS",2012,2374850,7145660,0.605412,-1.10157,-1.81953925889603
"WEE","S2",1,"MCDS",2015,5074960,4758500,0.314838,0.0643867,0.204505652408953
"WEE","S2",1,"MCDS",2018,8343290,2306990,0.165979,1.28551,7.74503990532602
"WEE","S2",1,"MCDS",2022,77531.1,174618,0.132414,-0.81192,-6.13168988693686
