"Dataset","Scenario","q","Year","SSB","SSB_base","SSB_95_lo","SSB_95_hi","SSB_base_95_lo","SSB_base_95_hi"
"FULL","S1",0.8,1985,126.4415764,126.4415764,NA,NA,NA,NA
"FULL","S1",0.8,1986,96.63589205,96.63589205,NA,NA,NA,NA
"FULL","S1",0.8,1987,26.67411307,26.67411307,NA,NA,NA,NA
"FULL","S1",0.8,1988,73.15662351,73.15662351,NA,NA,NA,NA
"FULL","S1",0.8,1989,147.6026259,147.6026259,NA,NA,NA,NA
"FULL","S1",0.8,1990,72.09955336,72.09955336,NA,NA,NA,NA
"FULL","S1",0.8,1991,87.55420837,87.55420837,NA,NA,NA,NA
"FULL","S1",0.8,1992,78.30381141,78.30381141,NA,NA,NA,NA
"FULL","S1",0.8,1993,36.6542624,36.6542624,NA,NA,NA,NA
"FULL","S1",0.8,1994,158.2627113,158.2627113,NA,NA,NA,NA
"FULL","S1",0.8,1995,45.51425918,45.51425918,NA,NA,NA,NA
"FULL","S1",0.8,1996,26.78518957,26.78518957,NA,NA,NA,NA
"FULL","S1",0.8,1997,72.68896555,72.68896555,NA,NA,NA,NA
"FULL","S1",0.8,1998,35.00882802,35.00882802,NA,NA,NA,NA
"FULL","S1",0.8,1999,111.3173887,111.3173887,NA,NA,NA,NA
"FULL","S1",0.8,2000,182.0349706,182.0349706,NA,NA,NA,NA
"FULL","S1",0.8,2001,61.6329671,61.6329671,NA,NA,NA,NA
"FULL","S1",0.8,2002,157.7486288,157.7486288,NA,NA,NA,NA
"FULL","S1",0.8,2003,85.15564561,85.15564561,NA,NA,NA,NA
"FULL","S1",0.8,2004,52.17949199,52.17949199,NA,NA,NA,NA
"FULL","S1",0.8,2005,65.99745747,65.99745747,NA,NA,NA,NA
"FULL","S1",0.8,2006,146.1868591,146.1868591,NA,NA,NA,NA
"FULL","S1",0.8,2007,75.9982927,75.9982927,NA,NA,NA,NA
"FULL","S1",0.8,2008,71.72577539,71.72577539,NA,NA,NA,NA
"FULL","S1",0.8,2009,49.0472314,49.0472314,NA,NA,NA,NA
"FULL","S1",0.8,2010,83.6769407,83.6769407,NA,NA,NA,NA
"FULL","S1",0.8,2011,46.31828488,46.31828488,NA,NA,NA,NA
"FULL","S1",0.8,2012,154.7452043,154.7452043,NA,NA,NA,NA
"FULL","S1",0.8,2013,78.06308844,77.30693784,NA,NA,NA,NA
"FULL","S1",0.8,2014,87.38586928,86.01776142,NA,NA,NA,NA
"FULL","S1",0.8,2015,77.88858816,63.2630962,NA,NA,NA,NA
"FULL","S1",0.8,2016,89.00089937,89.14134109,NA,NA,NA,NA
"FULL","S1",0.8,2017,39.7082126,39.6969624,NA,NA,NA,NA
"FULL","S1",0.8,2018,55.0473749,54.12243162,NA,NA,NA,NA
"FULL","S1",0.8,2019,78.75042392,78.24996695,NA,NA,NA,NA
"FULL","S1",0.8,2021,138.4936868,134.6571599,NA,NA,NA,NA
"FULL","S1",0.8,2022,111.1868238,109.0138877,NA,NA,NA,NA
"FULL","S1",1,1976,147.8006758,147.8006758,NA,NA,NA,NA
"FULL","S1",1,1977,70.08328967,70.08328967,NA,NA,NA,NA
"FULL","S1",1,1978,54.15813271,54.15813271,NA,NA,NA,NA
"FULL","S1",1,1979,63.72408518,63.72408518,NA,NA,NA,NA
"FULL","S1",1,1980,100.2947111,100.2947111,NA,NA,NA,NA
"FULL","S1",1,1981,81.42739059,81.42739059,NA,NA,NA,NA
"FULL","S1",1,1982,85.37978263,85.37978263,NA,NA,NA,NA
"FULL","S1",1,1983,145.0729483,145.0729483,NA,NA,NA,NA
"FULL","S1",1,1984,143.1200452,143.1200452,NA,NA,NA,NA
"FULL","S1",1,1985,126.4415764,126.4415764,NA,NA,NA,NA
"FULL","S1",1,1986,96.63589205,96.63589205,NA,NA,NA,NA
"FULL","S1",1,1987,26.67411307,26.67411307,NA,NA,NA,NA
"FULL","S1",1,1988,73.15662351,73.15662351,NA,NA,NA,NA
"FULL","S1",1,1989,147.6026259,147.6026259,NA,NA,NA,NA
"FULL","S1",1,1990,72.09955336,72.09955336,NA,NA,NA,NA
"FULL","S1",1,1991,87.55420837,87.55420837,NA,NA,NA,NA
"FULL","S1",1,1992,78.30381141,78.30381141,NA,NA,NA,NA
"FULL","S1",1,1993,36.6542624,36.6542624,NA,NA,NA,NA
"FULL","S1",1,1994,158.2627113,158.2627113,NA,NA,NA,NA
"FULL","S1",1,1995,45.51425918,45.51425918,NA,NA,NA,NA
"FULL","S1",1,1996,26.78518957,26.78518957,NA,NA,NA,NA
"FULL","S1",1,1997,72.68896555,72.68896555,NA,NA,NA,NA
"FULL","S1",1,1998,35.00882802,35.00882802,NA,NA,NA,NA
"FULL","S1",1,1999,111.3173887,111.3173887,NA,NA,NA,NA
"FULL","S1",1,2000,182.0349706,182.0349706,NA,NA,NA,NA
"FULL","S1",1,2001,61.6329671,61.6329671,NA,NA,NA,NA
"FULL","S1",1,2002,157.7486288,157.7486288,NA,NA,NA,NA
"FULL","S1",1,2003,85.15564561,85.15564561,NA,NA,NA,NA
"FULL","S1",1,2004,52.17949199,52.17949199,NA,NA,NA,NA
"FULL","S1",1,2005,65.99745747,65.99745747,NA,NA,NA,NA
"FULL","S1",1,2006,146.1868591,146.1868591,NA,NA,NA,NA
"FULL","S1",1,2007,75.9982927,75.9982927,NA,NA,NA,NA
"FULL","S1",1,2008,71.72577539,71.72577539,NA,NA,NA,NA
"FULL","S1",1,2009,49.0472314,49.0472314,NA,NA,NA,NA
"FULL","S1",1,2010,83.6769407,83.6769407,NA,NA,NA,NA
"FULL","S1",1,2011,46.31828488,46.31828488,NA,NA,NA,NA
"FULL","S1",1,2012,154.7452043,154.7452043,NA,NA,NA,NA
"FULL","S1",1,2013,78.25212609,77.30693784,NA,NA,NA,NA
"FULL","S1",1,2014,87.72789625,86.01776142,NA,NA,NA,NA
"FULL","S1",1,2015,81.54496115,63.2630962,NA,NA,NA,NA
"FULL","S1",1,2016,88.96578894,89.14134109,NA,NA,NA,NA
"FULL","S1",1,2017,39.7082126,39.6969624,NA,NA,NA,NA
"FULL","S1",1,2018,55.27861072,54.12243162,NA,NA,NA,NA
"FULL","S1",1,2019,78.87553816,78.24996695,NA,NA,NA,NA
"FULL","S1",1,2021,139.4528185,134.6571599,NA,NA,NA,NA
"FULL","S1",1,2022,111.7300579,109.0138877,NA,NA,NA,NA
"FULL","S2",0.2,1976,147.8006758,147.8006758,NA,NA,NA,NA
"FULL","S2",0.2,1977,70.08328967,70.08328967,NA,NA,NA,NA
"FULL","S2",0.2,1978,54.15813271,54.15813271,NA,NA,NA,NA
"FULL","S2",0.2,1979,63.72408518,63.72408518,NA,NA,NA,NA
"FULL","S2",0.2,1980,100.2947111,100.2947111,NA,NA,NA,NA
"FULL","S2",0.2,1981,81.42739059,81.42739059,NA,NA,NA,NA
"FULL","S2",0.2,1982,85.37978263,85.37978263,NA,NA,NA,NA
"FULL","S2",0.2,1983,145.0729483,145.0729483,NA,NA,NA,NA
"FULL","S2",0.2,1984,143.1200452,143.1200452,NA,NA,NA,NA
"FULL","S2",0.2,1985,126.4415764,126.4415764,NA,NA,NA,NA
"FULL","S2",0.2,1986,96.63589205,96.63589205,NA,NA,NA,NA
"FULL","S2",0.2,1987,26.67411307,26.67411307,NA,NA,NA,NA
"FULL","S2",0.2,1988,73.15662351,73.15662351,NA,NA,NA,NA
"FULL","S2",0.2,1989,147.6026259,147.6026259,NA,NA,NA,NA
"FULL","S2",0.2,1990,72.09955336,72.09955336,NA,NA,NA,NA
"FULL","S2",0.2,1991,87.55420837,87.55420837,NA,NA,NA,NA
"FULL","S2",0.2,1992,78.30381141,78.30381141,NA,NA,NA,NA
"FULL","S2",0.2,1993,36.6542624,36.6542624,NA,NA,NA,NA
"FULL","S2",0.2,1994,158.2627113,158.2627113,NA,NA,NA,NA
"FULL","S2",0.2,1995,45.51425918,45.51425918,NA,NA,NA,NA
"FULL","S2",0.2,1996,26.78518957,26.78518957,NA,NA,NA,NA
"FULL","S2",0.2,1997,72.68896555,72.68896555,NA,NA,NA,NA
"FULL","S2",0.2,1998,35.00882802,35.00882802,NA,NA,NA,NA
"FULL","S2",0.2,1999,111.3173887,111.3173887,NA,NA,NA,NA
"FULL","S2",0.2,2000,182.0349706,182.0349706,NA,NA,NA,NA
"FULL","S2",0.2,2001,61.6329671,61.6329671,NA,NA,NA,NA
"FULL","S2",0.2,2002,157.7486288,157.7486288,NA,NA,NA,NA
"FULL","S2",0.2,2003,85.15564561,85.15564561,NA,NA,NA,NA
"FULL","S2",0.2,2004,52.17949199,52.17949199,NA,NA,NA,NA
"FULL","S2",0.2,2005,65.99745747,65.99745747,NA,NA,NA,NA
"FULL","S2",0.2,2006,146.1868591,146.1868591,NA,NA,NA,NA
"FULL","S2",0.2,2007,75.9982927,75.9982927,NA,NA,NA,NA
"FULL","S2",0.2,2008,71.72577539,71.72577539,NA,NA,NA,NA
"FULL","S2",0.2,2009,49.0472314,49.0472314,NA,NA,NA,NA
"FULL","S2",0.2,2010,83.6769407,83.6769407,NA,NA,NA,NA
"FULL","S2",0.2,2011,46.31828488,46.31828488,NA,NA,NA,NA
"FULL","S2",0.2,2012,154.7452043,154.7452043,NA,NA,NA,NA
"FULL","S2",0.2,2013,77.81033053,77.30693784,NA,NA,NA,NA
"FULL","S2",0.2,2014,86.9961467,86.01776142,NA,NA,NA,NA
"FULL","S2",0.2,2015,68.20452696,63.2630962,NA,NA,NA,NA
"FULL","S2",0.2,2016,90.01047324,89.14134109,NA,NA,NA,NA
"FULL","S2",0.2,2017,39.7082126,39.6969624,NA,NA,NA,NA
"FULL","S2",0.2,2018,54.86257861,54.12243162,NA,NA,NA,NA
"FULL","S2",0.2,2019,78.98791173,78.24996695,NA,NA,NA,NA
"FULL","S2",0.2,2021,136.3194136,134.6571599,NA,NA,NA,NA
"FULL","S2",0.2,2022,110.3755692,109.0138877,NA,NA,NA,NA
"FULL","S2",0.4,1976,147.8006758,147.8006758,NA,NA,NA,NA
"FULL","S2",0.4,1977,70.08328967,70.08328967,NA,NA,NA,NA
"FULL","S2",0.4,1978,54.15813271,54.15813271,NA,NA,NA,NA
"FULL","S2",0.4,1979,63.72408518,63.72408518,NA,NA,NA,NA
"FULL","S2",0.4,1980,100.2947111,100.2947111,NA,NA,NA,NA
"FULL","S2",0.4,1981,81.42739059,81.42739059,NA,NA,NA,NA
"FULL","S2",0.4,1982,85.37978263,85.37978263,NA,NA,NA,NA
"FULL","S2",0.4,1983,145.0729483,145.0729483,NA,NA,NA,NA
"FULL","S2",0.4,1984,143.1200452,143.1200452,NA,NA,NA,NA
"FULL","S2",0.4,1985,126.4415764,126.4415764,NA,NA,NA,NA
"FULL","S2",0.4,1986,96.63589205,96.63589205,NA,NA,NA,NA
"FULL","S2",0.4,1987,26.67411307,26.67411307,NA,NA,NA,NA
"FULL","S2",0.4,1988,73.15662351,73.15662351,NA,NA,NA,NA
"FULL","S2",0.4,1989,147.6026259,147.6026259,NA,NA,NA,NA
"FULL","S2",0.4,1990,72.09955336,72.09955336,NA,NA,NA,NA
"FULL","S2",0.4,1991,87.55420837,87.55420837,NA,NA,NA,NA
"FULL","S2",0.4,1992,78.30381141,78.30381141,NA,NA,NA,NA
"FULL","S2",0.4,1993,36.6542624,36.6542624,NA,NA,NA,NA
"FULL","S2",0.4,1994,158.2627113,158.2627113,NA,NA,NA,NA
"FULL","S2",0.4,1995,45.51425918,45.51425918,NA,NA,NA,NA
"FULL","S2",0.4,1996,26.78518957,26.78518957,NA,NA,NA,NA
"FULL","S2",0.4,1997,72.68896555,72.68896555,NA,NA,NA,NA
"FULL","S2",0.4,1998,35.00882802,35.00882802,NA,NA,NA,NA
"FULL","S2",0.4,1999,111.3173887,111.3173887,NA,NA,NA,NA
"FULL","S2",0.4,2000,182.0349706,182.0349706,NA,NA,NA,NA
"FULL","S2",0.4,2001,61.6329671,61.6329671,NA,NA,NA,NA
"FULL","S2",0.4,2002,157.7486288,157.7486288,NA,NA,NA,NA
"FULL","S2",0.4,2003,85.15564561,85.15564561,NA,NA,NA,NA
"FULL","S2",0.4,2004,52.17949199,52.17949199,NA,NA,NA,NA
"FULL","S2",0.4,2005,65.99745747,65.99745747,NA,NA,NA,NA
"FULL","S2",0.4,2006,146.1868591,146.1868591,NA,NA,NA,NA
"FULL","S2",0.4,2007,75.9982927,75.9982927,NA,NA,NA,NA
"FULL","S2",0.4,2008,71.72577539,71.72577539,NA,NA,NA,NA
"FULL","S2",0.4,2009,49.0472314,49.0472314,NA,NA,NA,NA
"FULL","S2",0.4,2010,83.6769407,83.6769407,NA,NA,NA,NA
"FULL","S2",0.4,2011,46.31828488,46.31828488,NA,NA,NA,NA
"FULL","S2",0.4,2012,154.7452043,154.7452043,NA,NA,NA,NA
"FULL","S2",0.4,2013,78.31372322,77.30693784,NA,NA,NA,NA
"FULL","S2",0.4,2014,87.97453198,86.01776142,NA,NA,NA,NA
"FULL","S2",0.4,2015,73.14595771,63.2630962,NA,NA,NA,NA
"FULL","S2",0.4,2016,90.87960538,89.14134109,NA,NA,NA,NA
"FULL","S2",0.4,2017,39.7082126,39.6969624,NA,NA,NA,NA
"FULL","S2",0.4,2018,55.6027256,54.12243162,NA,NA,NA,NA
"FULL","S2",0.4,2019,79.72585651,78.24996695,NA,NA,NA,NA
"FULL","S2",0.4,2021,137.9816673,134.6571599,NA,NA,NA,NA
"FULL","S2",0.4,2022,111.7372506,109.0138877,NA,NA,NA,NA
"FULL","S2",0.6,1976,147.8006758,147.8006758,NA,NA,NA,NA
"FULL","S2",0.6,1977,70.08328967,70.08328967,NA,NA,NA,NA
"FULL","S2",0.6,1978,54.15813271,54.15813271,NA,NA,NA,NA
"FULL","S2",0.6,1979,63.72408518,63.72408518,NA,NA,NA,NA
"FULL","S2",0.6,1980,100.2947111,100.2947111,NA,NA,NA,NA
"FULL","S2",0.6,1981,81.42739059,81.42739059,NA,NA,NA,NA
"FULL","S2",0.6,1982,85.37978263,85.37978263,NA,NA,NA,NA
