"Dataset","Scenario","q","Year","SSB","SSB_base","SSB_95_lo","SSB_95_hi","SSB_base_95_lo","SSB_base_95_hi"
"FULL","S1",0.4,2000,182.0349706,182.0349706,NA,NA,NA,NA
"FULL","S1",0.4,2001,61.6329671,61.6329671,NA,NA,NA,NA
"FULL","S1",0.4,2002,157.7486288,157.7486288,NA,NA,NA,NA
"FULL","S1",0.4,2003,85.15564561,85.15564561,NA,NA,NA,NA
"FULL","S1",0.4,2004,52.17949199,52.17949199,NA,NA,NA,NA
"FULL","S1",0.4,2005,65.99745747,65.99745747,NA,NA,NA,NA
"FULL","S1",0.4,2006,146.1868591,146.1868591,NA,NA,NA,NA
"FULL","S1",0.4,2007,75.9982927,75.9982927,NA,NA,NA,NA
"FULL","S1",0.4,2008,71.72577539,71.72577539,NA,NA,NA,NA
"FULL","S1",0.4,2009,49.0472314,49.0472314,NA,NA,NA,NA
"FULL","S1",0.4,2010,83.6769407,83.6769407,NA,NA,NA,NA
"FULL","S1",0.4,2011,46.31828488,46.31828488,NA,NA,NA,NA
"FULL","S1",0.4,2012,154.7452043,154.7452043,NA,NA,NA,NA
"FULL","S1",0.4,2013,77.68501314,77.30693784,NA,NA,NA,NA
"FULL","S1",0.4,2014,86.70181535,86.01776142,NA,NA,NA,NA
"FULL","S1",0.4,2015,70.57584218,63.2630962,NA,NA,NA,NA
"FULL","S1",0.4,2016,89.07112023,89.14134109,NA,NA,NA,NA
"FULL","S1",0.4,2017,39.7082126,39.6969624,NA,NA,NA,NA
"FULL","S1",0.4,2018,54.58490326,54.12243162,NA,NA,NA,NA
"FULL","S1",0.4,2019,78.50019543,78.24996695,NA,NA,NA,NA
"FULL","S1",0.4,2021,136.5754233,134.6571599,NA,NA,NA,NA
"FULL","S1",0.4,2022,110.1003558,109.0138877,NA,NA,NA,NA
"FULL","S1",0.6,1976,147.8006758,147.8006758,NA,NA,NA,NA
"FULL","S1",0.6,1977,70.08328967,70.08328967,NA,NA,NA,NA
"FULL","S1",0.6,1978,54.15813271,54.15813271,NA,NA,NA,NA
"FULL","S1",0.6,1979,63.72408518,63.72408518,NA,NA,NA,NA
"FULL","S1",0.6,1980,100.2947111,100.2947111,NA,NA,NA,NA
"FULL","S1",0.6,1981,81.42739059,81.42739059,NA,NA,NA,NA
"FULL","S1",0.6,1982,85.37978263,85.37978263,NA,NA,NA,NA
"FULL","S1",0.6,1983,145.0729483,145.0729483,NA,NA,NA,NA
"FULL","S1",0.6,1984,143.1200452,143.1200452,NA,NA,NA,NA
"FULL","S1",0.6,1985,126.4415764,126.4415764,NA,NA,NA,NA
"FULL","S1",0.6,1986,96.63589205,96.63589205,NA,NA,NA,NA
"FULL","S1",0.6,1987,26.67411307,26.67411307,NA,NA,NA,NA
"FULL","S1",0.6,1988,73.15662351,73.15662351,NA,NA,NA,NA
"FULL","S1",0.6,1989,147.6026259,147.6026259,NA,NA,NA,NA
"FULL","S1",0.6,1990,72.09955336,72.09955336,NA,NA,NA,NA
"FULL","S1",0.6,1991,87.55420837,87.55420837,NA,NA,NA,NA
"FULL","S1",0.6,1992,78.30381141,78.30381141,NA,NA,NA,NA
"FULL","S1",0.6,1993,36.6542624,36.6542624,NA,NA,NA,NA
"FULL","S1",0.6,1994,158.2627113,158.2627113,NA,NA,NA,NA
"FULL","S1",0.6,1995,45.51425918,45.51425918,NA,NA,NA,NA
"FULL","S1",0.6,1996,26.78518957,26.78518957,NA,NA,NA,NA
"FULL","S1",0.6,1997,72.68896555,72.68896555,NA,NA,NA,NA
"FULL","S1",0.6,1998,35.00882802,35.00882802,NA,NA,NA,NA
"FULL","S1",0.6,1999,111.3173887,111.3173887,NA,NA,NA,NA
"FULL","S1",0.6,2000,182.0349706,182.0349706,NA,NA,NA,NA
"FULL","S1",0.6,2001,61.6329671,61.6329671,NA,NA,NA,NA
"FULL","S1",0.6,2002,157.7486288,157.7486288,NA,NA,NA,NA
"FULL","S1",0.6,2003,85.15564561,85.15564561,NA,NA,NA,NA
"FULL","S1",0.6,2004,52.17949199,52.17949199,NA,NA,NA,NA
"FULL","S1",0.6,2005,65.99745747,65.99745747,NA,NA,NA,NA
"FULL","S1",0.6,2006,146.1868591,146.1868591,NA,NA,NA,NA
"FULL","S1",0.6,2007,75.9982927,75.9982927,NA,NA,NA,NA
"FULL","S1",0.6,2008,71.72577539,71.72577539,NA,NA,NA,NA
"FULL","S1",0.6,2009,49.0472314,49.0472314,NA,NA,NA,NA
"FULL","S1",0.6,2010,83.6769407,83.6769407,NA,NA,NA,NA
"FULL","S1",0.6,2011,46.31828488,46.31828488,NA,NA,NA,NA
"FULL","S1",0.6,2012,154.7452043,154.7452043,NA,NA,NA,NA
"FULL","S1",0.6,2013,77.87405079,77.30693784,NA,NA,NA,NA
"FULL","S1",0.6,2014,87.04384231,86.01776142,NA,NA,NA,NA
"FULL","S1",0.6,2015,74.23221517,63.2630962,NA,NA,NA,NA
"FULL","S1",0.6,2016,89.0360098,89.14134109,NA,NA,NA,NA
"FULL","S1",0.6,2017,39.7082126,39.6969624,NA,NA,NA,NA
"FULL","S1",0.6,2018,54.81613908,54.12243162,NA,NA,NA,NA
"FULL","S1",0.6,2019,78.62530967,78.24996695,NA,NA,NA,NA
"FULL","S1",0.6,2021,137.5345551,134.6571599,NA,NA,NA,NA
"FULL","S1",0.6,2022,110.6435898,109.0138877,NA,NA,NA,NA
"FULL","S1",0.8,1976,147.8006758,147.8006758,NA,NA,NA,NA
"FULL","S1",0.8,1977,70.08328967,70.08328967,NA,NA,NA,NA
"FULL","S1",0.8,1978,54.15813271,54.15813271,NA,NA,NA,NA
"FULL","S1",0.8,1979,63.72408518,63.72408518,NA,NA,NA,NA
"FULL","S1",0.8,1980,100.2947111,100.2947111,NA,NA,NA,NA
"FULL","S1",0.8,1981,81.42739059,81.42739059,NA,NA,NA,NA
"FULL","S1",0.8,1982,85.37978263,85.37978263,NA,NA,NA,NA
"FULL","S1",0.8,1983,145.0729483,145.0729483,NA,NA,NA,NA
"FULL","S1",0.8,1984,143.1200452,143.1200452,NA,NA,NA,NA
